Model,Accuracy,AUC,Precision,Recall,F1,nFeatures
LogisticRegression,0.7926315789473685,0.8479047619047618,0.729562109931692,0.6961904761904762,0.6862882860866731,10
RandomForestClassifier,0.8702631578947368,0.9140476190476191,0.8605228758169934,0.7730952380952381,0.7804386768527481,10
SVC,0.7539473684210526,0.5,0.3769736842105263,0.5,0.4297937356760886,10
GaussianNB,0.7471052631578947,0.8772380952380953,0.7427308802308803,0.8004761904761905,0.7251826506826505,10
KNeighborsClassifier,0.8136842105263158,0.8016666666666665,0.720338388391794,0.7177380952380952,0.7115041715610975,10
