Model,Accuracy,AUC,Precision,Recall,F1,nFeatures
LogisticRegression,0.8181578947368422,0.8603809523809524,0.773915285351044,0.7333333333333333,0.7207000977794916,22
RandomForestClassifier,0.8339473684210527,0.8941666666666667,0.752983561845791,0.7389285714285714,0.7230033497483441,22
SVC,0.7539473684210526,0.5,0.3769736842105263,0.5,0.4297937356760886,22
GaussianNB,0.6957894736842104,0.8443809523809523,0.7099567099567101,0.7602380952380953,0.6741768908840519,22
KNeighborsClassifier,0.7618421052631579,0.7477380952380953,0.6380066706169648,0.6490476190476191,0.6348906984592468,22
