Model,Accuracy,AUC,Precision,Recall,F1,nFeatures
LogisticRegression,0.7976315789473685,0.8249047619047619,0.7145661948990123,0.693095238095238,0.6725807109557109,10
RandomForestClassifier,0.8442105263157895,0.9011190476190476,0.7487923853752028,0.7497619047619046,0.7291901565712744,10
SVC,0.7539473684210526,0.5,0.3769736842105263,0.5,0.4297937356760886,10
GaussianNB,0.7668421052631579,0.8400000000000001,0.7359504262077792,0.7658333333333334,0.716462950615451,10
KNeighborsClassifier,0.7618421052631579,0.7477380952380953,0.6380066706169648,0.6490476190476191,0.6348906984592468,10
