Model,Accuracy,AUC,Precision,Recall,F1,nFeatures
LogisticRegression,0.8134210526315788,0.8476666666666667,0.7102083333333333,0.6900000000000001,0.6654200507483239,10
RandomForestClassifier,0.865,0.9099047619047619,0.8016372733303848,0.7764285714285715,0.7697240871691651,10
SVC,0.7844736842105263,0.8110000000000002,0.5744548872180452,0.5833333333333334,0.5475115688908792,10
GaussianNB,0.7271052631578947,0.8765714285714286,0.7362085137085137,0.7938095238095239,0.7086499178570789,10
KNeighborsClassifier,0.8386842105263158,0.8960952380952382,0.7582539682539682,0.7716666666666667,0.7592109552016394,10
